"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310818001014","Residential","Single Family","2,256","1,745","2,306","2,412","3,786","7,218","9,705","8,783","5,535","3,697","4,090","5,118","56,651","Less than 4","1","819","695","448","147","310","98","143","125","150","161","406","1,097","4,599","Less than 4","13,950","20,925","28,325.5","10,752.97","20,722","20,722","28,325.5","35,929","35,929","6,975","0.00","6,975","6,975","6,975","6,975","6,975","1,533","817.16","619","619","1,787","2,193","2,193","6,975","0.00","6,975","6,975","6,975","6,975","6,975","13","5","1","0","3.25","4","0.8","3","0.75","4"
"Near North Side","170310818001016","Commercial","Commercial","315,153","352,056","330,436","372,659","412,192","499,157","521,508","534,043","460,111","409,502","416,297","437,872","5,060,986","313","85","52,752","41,648","29,176","18,478","12,003","5,860","7,184","5,966","6,894","13,160","21,924","43,875","258,920","140","532,077","517,059","562,331.8","441,910.11","170,328","311,776","459,720","653,014","1,636,752","88,679.5","163,412.93","8,131","15,018","23,559","40,400","421,410","32,365","44,145.19","715","9,033","13,977.5","38,746","134,692","103,411.8","178,190.71","8,131","17,117","30,001","40,400","421,410","444","323","6.67","32","1.49","298","0.9226","74","0.248","298"
"Near North Side","170310818001017","Residential","Multi 7+","50,239","47,050","47,412","54,039","81,472","103,021","126,404","123,603","97,883","68,722","67,006","70,757","937,608","140","25","12,455","9,965","7,137","3,855","2,926","1,849","2,411","1,886","2,267","2,284","3,345","8,059","58,439","151","249,900","249,900","937,608",,"937,608","937,608","937,608","937,608","937,608","249,900",,"249,900","249,900","249,900","249,900","249,900","58,439",,"58,439","58,439","58,439","58,439","58,439","249,900",,"249,900","249,900","249,900","249,900","249,900","231","158","7","75","1.57","147","0.9304","39","0.265","147"
"Near North Side","170310818001020","Commercial","Commercial","53,266","53,710","52,358","50,007","71,659","86,012","145,176","140,433","116,258","67,492","85,240","95,040","1,016,651","117","24","1,039","882","628","450","247","38","6","6","6","99","408","848","4,657","Less than 4","29,620","5,808","338,883.7","464,602.58","14,982","14,982","130,468","871,201","871,201","9,873.33","7,135.10","5,700","5,700","5,808","18,112","18,112","4,657",,"4,657","4,657","4,657","4,657","4,657","5,808",,"5,808","5,808","5,808","5,808","5,808","180","133","1.67","5.33","1.41","128","0.9623","62","0.484","128"
"Near North Side","170310818002000","Commercial","Commercial",,,,,,,,,,,,,,,"0","4,436","3,613","2,083","1,016","580","90","1","1","13","935","1,929","3,892","18,589","Less than 4",,"87,226",,,,,,,,,,,,,,,"9,294.5","3,413.20","6,881","6,881","9,294.5","11,708","11,708","43,613","29,346.35","22,862","22,862","43,613","64,364","64,364","0","0","2.5","52","0","0",,"0",,"0"
"Near North Side","170310818002001","Residential","Multi < 7","1,273","1,046","878","878","901","997","983","1,042","973","973","4,512","1,359","15,815","Less than 4","1","507","471","348","206","120","79","55","45","43","62","139","423","2,498","5","3,785","3,785","15,815",,"15,815","15,815","15,815","15,815","15,815","3,785",,"3,785","3,785","3,785","3,785","3,785","2,498",,"2,498","2,498","2,498","2,498","2,498","3,785",,"3,785","3,785","3,785","3,785","3,785","8","4","3","124","2","4","1","4","1","4"
"Near North Side","170310818002004","Commercial","Multi < 7","2,148","2,208","2,037","2,051","3,128","4,036","5,165","6,154","3,627","3,218","3,333","3,774","40,879","7","7","3,423","4,479","2,506","2,425","1,669","1,793","1,476","1,529","1,435","612","767","597","22,711","10","9,327","9,327","20,439.5","9,915.76","13,428","13,428","20,439.5","27,451","27,451","4,663.5","5,322.39","900","900","4,663.5","8,427","8,427","11,355.5","13,475.33","1,827","1,827","11,355.5","20,884","20,884","4,663.5","5,322.39","900","900","4,663.5","8,427","8,427","13","6","3","59.5","2.17","6","1","5","0.833","6"
"Near North Side","170310818002005","Commercial","Commercial","116,820","123,538","121,417","128,251","174,271","198,150","249,544","211,723","173,875","143,701","129,035","120,265","1,890,590","8","0","16,428","13,523","8,572","4,623","2,609","2,534","2,773","3,191","3,411","3,836","6,164","12,994","80,658","5","46,015","46,015","945,295","1,336,512.43","238","238","945,295","1,890,352","1,890,352","23,007.5","28,697.93","2,715","2,715","23,007.5","43,300","43,300","40,329","41,753.24","10,805","10,805","40,329","69,853","69,853","23,007.5","28,697.93","2,715","2,715","23,007.5","43,300","43,300","0","1","1.5","37.5","0","0","0","0",,"0"
"Near North Side","170310818002010","Commercial","Commercial","8,919","8,112","8,767","7,509","10,031","13,025","10,894","11,943","9,916","10,668","9,610","9,727","119,121","5","7","1,663","1,606","977","346","56","32",,"1","17","31","78","776","5,583","5","9,436","16,814","59,560.5","78,913.82","3,760","3,760","59,560.5","115,361","115,361","4,718","4,665.49","1,419","1,419","4,718","8,017","8,017","1,395.75","532.49","720","1,010.5","1,436","1,781","1,991","4,203.5","2,897.38","1,419","2,011","3,689","6,396","8,017","3","0","1","0","0","0",,"0",,"0"
"Near North Side","170310818002010","Residential","Multi < 7","1,477","1,348","991","841","1,160","1,417","1,861","1,565","1,026","1,001","1,498","1,920","16,105","Less than 4","0","352","309","189","120","61","31","36","33","27","39","73","153","1,423","Less than 4","6,000","6,000","16,105",,"16,105","16,105","16,105","16,105","16,105","6,000",,"6,000","6,000","6,000","6,000","6,000","1,423",,"1,423","1,423","1,423","1,423","1,423","6,000",,"6,000","6,000","6,000","6,000","6,000","3","0","1","0","0","0",,"0",,"0"
"Near North Side","170310818002011","Commercial","Commercial","37,374","36,271","40,739","37,900","48,600","58,922","62,777","59,847","53,671","37,271","41,195","45,290","559,857","12","3","3,484","3,222","1,780","756","243","138","83","83","81","149","461","2,836","13,316","10","46,710","46,710","279,928.5","10,279.21","272,660","272,660","279,928.5","287,197","287,197","23,355","3,074.50","21,181","21,181","23,355","25,529","25,529","6,658","2,397.09","4,963","4,963","6,658","8,353","8,353","23,355","3,074.50","21,181","21,181","23,355","25,529","25,529","0","0","4.5","119","0","0",,"0",,"0"
"Near North Side","170310818002013","Commercial","Commercial","1,669","1,690","1,827","1,563","1,727","2,614","2,790","2,657","2,364","3,989","5,372","5,830","34,092","5","2","1,899","1,805","1,222","543","203","146","129","91",,"25","323","1,257","7,643","8","16,447","16,447","34,092",,"34,092","34,092","34,092","34,092","34,092","16,447",,"16,447","16,447","16,447","16,447","16,447","7,643",,"7,643","7,643","7,643","7,643","7,643","16,447",,"16,447","16,447","16,447","16,447","16,447","0","0","3","61","0","0",,"0",,"0"
"Near North Side","170310818002050","Commercial","Commercial","5,138","4,681","4,906","6,839","8,319","10,420","10,471","9,097","9,698","5,913","7,962","8,461","91,905","4","2",,,,,,,,,,,,,,,"52,269",,"91,905",,"91,905","91,905","91,905","91,905","91,905","52,269",,"52,269","52,269","52,269","52,269","52,269",,,,,,,,,,,,,,,"0","0","7","0","0","0",,"0",,"0"
"Near North Side","170310818002016","Commercial","Commercial","555","348","306","239","261","6,030","11,293","11,081","4,220","6,978","6,988","14,619","62,918","Less than 4","2","1,629","1,201","806","562","387","302","283","390","136","312","367","917","7,292","4","24,435","10,088","31,459","23,856.37","14,590","14,590","31,459","48,328","48,328","12,217.5","3,011.57","10,088","10,088","12,217.5","14,347","14,347","7,292",,"7,292","7,292","7,292","7,292","7,292","10,088",,"10,088","10,088","10,088","10,088","10,088","157","200","2.5","59.5","1.45","108","0.54","63","0.583","108"
"Near North Side","170310818002016","Commercial","Multi < 7","947","1,830","1,876","1,876","1,887","2,523","2,537","2,602","2,049","1,706","2,211","3,381","25,425","Less than 4","2","1,009","787","525","225","53",,,,"4","57","178","434","3,272","Less than 4","6,457","6,457","25,425",,"25,425","25,425","25,425","25,425","25,425","6,457",,"6,457","6,457","6,457","6,457","6,457","3,272",,"3,272","3,272","3,272","3,272","3,272","6,457",,"6,457","6,457","6,457","6,457","6,457","157","200","1","0","1.45","108","0.54","63","0.583","108"
"Near North Side","170310818002017","Commercial","Multi 7+",,,,,,,,,,,,,,,"1","1,279","1,104","632","313","157","91","71","49","55","74","207","766","4,798","7",,"27,839",,,,,,,,,,,,,,,"2,399","496.39","2,048","2,048","2,399","2,750","2,750","13,919.5","996.31","13,215","13,215","13,919.5","14,624","14,624","34","19","4","124","1.79","19","1","6","0.316","19"
"Near North Side","170310818003009","Commercial","Multi < 7","32,267","31,464","21,291","16,581","22,251","26,121","27,087","23,938","20,553","16,092","26,720","35,236","299,601","6","1","316","234","124","36","1","9",,,"3","25","61","156","965","Less than 4","5,700","5,700","299,601",,"299,601","299,601","299,601","299,601","299,601","5,700",,"5,700","5,700","5,700","5,700","5,700","965",,"965","965","965","965","965","5,700",,"5,700","5,700","5,700","5,700","5,700","0","0","4","129","0","0",,"0",,"0"
"Near North Side","170310818002018","Commercial","Commercial","136,421","133,499","133,168","141,379","220,158","239,038","257,103","242,001","211,414","170,133","147,588","161,019","2,192,921","116","18","26,592","21,723","13,072","7,064","5,042","2,092","1,977","1,946","2,052","6,240","10,657","22,941","121,398","Less than 4","311,249","311,249","1,096,461","1,080,597.05","332,363","332,363","1,096,460.5","1,860,558","1,860,558","155,624.5","180,341.22","28,104","28,104","155,624.5","283,145","283,145","60,699","77,904.78","5,612","5,612","60,699","115,786","115,786","155,624.5","180,341.22","28,104","28,104","155,624.5","283,145","283,145","158","119","10","4","1.44","110","0.9244","24","0.218","110"
"Near North Side","170310818002019","Commercial","Commercial","281,258","259,637","236,145","216,109","285,791","344,427","381,770","361,771","298,486","217,676","268,835","308,374","3,460,279","159","88","27,896","22,789","17,500","10,590","6,452","2,797","3,142","2,573","2,525","4,064","7,589","18,670","126,587","Less than 4","535,496","340,825","692,055.8","904,636.64","21,230","237,054","301,998","639,031","2,260,966","107,099.2","126,350.54","8,700","19,181","89,989","95,982","321,644","63,293.5","76,045.80","9,521","9,521","63,293.5","117,066","117,066","170,412.5","213,873.64","19,181","19,181","170,412.5","321,644","321,644","1","1","7.8","61","1","1","1","1","1","1"
"Near North Side","170310818002022","Commercial","Commercial","67,526","63,060","71,970","74,406","96,849","122,376","129,663","130,242","114,192","84,244","87,446","79,678","1,121,652","58","10","11,396","10,441","5,824","2,579","1,078","657","574","593","550","642","1,800","7,192","43,326","69","21,256","27,716","1,121,652",,"1,121,652","1,121,652","1,121,652","1,121,652","1,121,652","21,256",,"21,256","21,256","21,256","21,256","21,256","14,442","18,280.71","2,312","2,312","5,546","35,468","35,468","9,238.67","10,451.96","2,265","2,265","4,195","21,256","21,256","4","2","1","0","2","2","1","2","1","2"
"Near North Side","170310818002027","Commercial","Commercial","99,706","101,226","101,039","96,978","136,254","147,365","153,556","143,655","146,941","114,441","109,332","132,214","1,482,707","11","1","2,044","1,641","898","395","189","10",,,"1","29","272","1,215","6,694","5","151,055","57,055","741,353.5","760,865.99","203,340","203,340","741,353.5","1,279,367","1,279,367","75,527.5","26,124.06","57,055","57,055","75,527.5","94,000","94,000","6,694",,"6,694","6,694","6,694","6,694","6,694","57,055",,"57,055","57,055","57,055","57,055","57,055","0","0","5.5","0","0","0",,"0",,"0"
"Near North Side","170310818002028","Residential","Multi < 7","1,824","6,954","6,647","6,348","7,208","8,053","8,398","7,725","5,973","5,940","10,859","7,695","83,624","6","0","545","504","362","283","222","202","216","204","193","227","245","422","3,625","Less than 4","1,900","1,900","41,812","43,013.31","11,397","11,397","41,812","72,227","72,227","950","70.71","900","900","950","1,000","1,000","1,812.5","2,474.17","63","63","1,812.5","3,562","3,562","950","70.71","900","900","950","1,000","1,000","0","0","3","59.5","0","0",,"0",,"0"
"Near North Side","170310818002029","Commercial","Commercial","100,201","89,211","64,598","49,880","57,404","64,273","71,569","66,244","55,218","45,046","80,421","117,330","861,395","16","8","2,171","1,799","1,410","432","83","29",,,,"3","37","1,011","6,975","9","71,300","48,100","287,131.7","372,714.39","31,935","31,935","114,610","714,850","714,850","35,650","1,767.77","34,400","34,400","35,650","36,900","36,900","3,487.5","328.80","3,255","3,255","3,487.5","3,720","3,720","24,050","18,172.64","11,200","11,200","24,050","36,900","36,900","8","4","5.67","80.33","2","4","1","2","0.5","4"
"Near North Side","170310818002029","Commercial","Multi < 7","24,854","22,931","28,271","20,088","28,049","33,824","37,883","38,759","25,360","21,553","23,774","38,303","343,649","7","3","1,863","2,354","1,689","1,300","1,028","1,007","1,086","1,063","948","1,199","1,232","1,830","16,599","7","11,990","11,990","114,549.7","141,346.86","5,589","5,589","63,794","274,266","274,266","3,996.67","3,454.13","1,300","1,300","2,800","7,890","7,890","5,533","8,123.61","195","195","1,522","14,882","14,882","3,996.67","3,454.13","1,300","1,300","2,800","7,890","7,890","8","4","3","0","2","4","1","2","0.5","4"
"Near North Side","170310818002029","Residential","Multi < 7","1,764","2,363","2,227","2,932","3,707","4,935","5,323","7,457","5,865","4,147","4,137","5,163","50,020","5","7","823","644","413","227","46","39","36","34","38","43","111","585","3,039","Less than 4","5,500","5,500","25,010","4,179.00","22,055","22,055","25,010","27,965","27,965","2,750","1,909.19","1,400","1,400","2,750","4,100","4,100","1,519.5","808.22","948","948","1,519.5","2,091","2,091","2,750","1,909.19","1,400","1,400","2,750","4,100","4,100","8","4","3.5","67.5","2","4","1","2","0.5","4"
"Near North Side","170310818002030","Commercial","Commercial","113,358","113,271","107,818","107,810","148,170","163,581","176,997","161,859","145,244","112,639","130,700","140,827","1,622,274","32","13","13,768","10,358","6,201","2,573","1,098","146","163","146","144","1,099","4,461","11,549","51,706","4","75,053","70,894","324,454.8","357,196.99","3,489","32,831","342,557","352,199","891,198","15,010.6","26,706.56","1,287","1,457","4,159","5,472","62,678","12,926.5","16,360.74","1,807","1,882.5","6,688","23,970.5","36,523","17,723.5","30,032.00","1,287","1,372","3,464.5","34,075","62,678","0","0","2.2","0","0","0",,"0",,"0"
"Near North Side","170310818002031","Commercial","Commercial","4,347","4,142","4,446","4,085","5,132","4,487","4,364","4,175","4,870","4,118","4,798","6,700","55,664","Less than 4","1","4,389","3,486","1,843","846","186","54","46","38","38","205","504","3,482","15,117","11","700","59,200","27,832","37,137.25","1,572","1,572","27,832","54,092","54,092","700",,"700","700","700","700","700","5,039","6,414.60","638","638","2,080","12,399","12,399","29,600","40,870.77","700","700","29,600","58,500","58,500","0","0","4.5","86","0","0",,"0",,"0"
"Near North Side","170310818002032","Residential","Multi < 7",,,,,,,,,,,,,,,"0","559","482","261","74","82","16","13","11","5","39","120","376","2,038","Less than 4",,"3,590",,,,,,,,,,,,,,,"1,019","380.42","750","750","1,019","1,288","1,288","3,590",,"3,590","3,590","3,590","3,590","3,590","0","0","3","0","0","0",,"0",,"0"
"Near North Side","170310818002035","Commercial","Commercial","171,779","157,578","141,438","145,508","193,170","201,482","216,565","262,509","190,023","172,317","217,492","274,646","2,344,507","93","33","9,987","9,714","7,795","5,866","5,065","4,478","4,865","4,573","4,398","5,339","5,564","9,024","76,668","15","134,703","124,745","234,450.7","290,720.08","28,040","60,344","83,007.5","381,260","937,694","44,901","63,249.05","2,503","2,503","14,600","117,600","117,600","7,666.8","9,599.54","95","786","4,076","9,511","25,375","41,581.67","65,842.49","2,503","2,503","4,642","117,600","117,600","0","0","2.25","26.75","0","0",,"0",,"0"
"Near North Side","170310818002037","Commercial","Commercial","40,901","37,598","42,561","41,888","63,629","77,008","83,958","94,163","59,114","45,013","49,423","70,712","705,968","26","3","6,253","5,196","2,796","1,304","414","182","183","158","147","179","904","3,984","21,700","23","80,500","80,500","352,984","409,130.57","63,685","63,685","352,984","642,283","642,283","40,250","50,275.29","4,700","4,700","40,250","75,800","75,800","10,850","10,794.69","3,217","3,217","10,850","18,483","18,483","40,250","50,275.29","4,700","4,700","40,250","75,800","75,800","0","0","4.5","90","0","0",,"0",,"0"
"Near North Side","170310818002040","Commercial","Commercial","11,870","11,147","8,866","8,621","12,652","19,657","19,277","29,094","15,179","13,800","16,080","18,937","185,180","8","6","2,202","1,693","975","294","35","13","20","14","12","37","261","1,592","7,148","8","49,509","49,509","46,295","33,390.02","18,022","20,411","38,452.5","72,179","90,253","16,503","6,409.25","12,600","12,600","13,009","23,900","23,900","2,382.67","1,908.31","868","868","1,754","4,526","4,526","16,503","6,409.25","12,600","12,600","13,009","23,900","23,900","0","0","4.33","0","0","0",,"0",,"0"
"Near North Side","170310818002042","Commercial","Commercial","6,888","6,273","6,382","5,612","8,986","9,833","11,159","11,849","8,044","6,795","7,017","8,178","97,016","5","2","2,355","2,019","1,204","363","162","131","143","124","117","161","451","2,850","10,080","Less than 4","82,066","82,066","97,016",,"97,016","97,016","97,016","97,016","97,016","82,066",,"82,066","82,066","82,066","82,066","82,066","10,080",,"10,080","10,080","10,080","10,080","10,080","82,066",,"82,066","82,066","82,066","82,066","82,066","0","0","6","0","0","0",,"0",,"0"
"Near North Side","170310818002044","Commercial","Commercial","64,789","64,737","65,229","67,310","80,967","87,974","94,469","91,313","78,146","60,596","65,870","63,384","884,784","8","1","1,681","1,524","967","401","188","73","60","55","60","107","278","1,124","6,518","7","80,819","21,700","442,392","455,738.81","120,136","120,136","442,392","764,648","764,648","40,409.5","26,459.23","21,700","21,700","40,409.5","59,119","59,119","6,518",,"6,518","6,518","6,518","6,518","6,518","21,700",,"21,700","21,700","21,700","21,700","21,700","0","0","5.5","12.5","0","0",,"0",,"0"
"Near North Side","170310818002046","Commercial","Commercial","290,781","291,077","316,772","354,670","378,202","429,360","438,143","400,165","437,354","348,824","338,273","354,047","4,377,668","98","28","1,144","666","339","166","20","35",,,,"4","68","879","3,321","8","74,600","45,200","1,459,223","2,424,535.62","6,936","6,936","112,561","4,258,171","4,258,171","24,866.67","17,637.55","13,700","13,700","15,700","45,200","45,200","3,321",,"3,321","3,321","3,321","3,321","3,321","45,200",,"45,200","45,200","45,200","45,200","45,200","169","109","12","49.67","1.69","100","0.9174","33","0.33","100"
"Near North Side","170310819001005","Commercial","Multi 7+",,,,,,,,,,,,,,,"0","778","759","559","321","156","93","22","47","32","42","88","230","3,127","Less than 4",,"10,301",,,,,,,,,,,,,,,"1,042.33","408.15","582","582","1,185","1,360","1,360","10,301",,"10,301","10,301","10,301","10,301","10,301","185","164","2","0","3.19","58","0.3536","55","0.948","58"
"Near North Side","170310818002046","Commercial","Multi < 7","5,161","10,148","10,573","10,500","11,936","21,872","26,685","22,918","23,137","20,963","21,070","24,728","209,691","6","9","3,994","2,604","2,974","2,134","1,707","1,493","1,668","1,389","1,350","1,616","2,171","3,167","26,267","10","19,000","19,000","52,422.75","47,404.28","4,512","12,188","51,955","92,657.5","101,269","9,500","5,881.71","5,341","5,341","9,500","13,659","13,659","6,566.75","6,640.17","1,424","1,612","4,599","11,521.5","15,645","9,500","5,881.71","5,341","5,341","9,500","13,659","13,659","169","109","3","0","1.69","100","0.9174","33","0.33","100"
"Near North Side","170310818002046","Residential","Single Family",,,,,,,,,,,,,,,"0","23,120","22,172","14,795","8,951","8,195","2,109","1,963","1,975","2,870","5,507","11,184","19,739","122,580","Less than 4",,"268,790",,,,,,,,,,,,,,,"122,580",,"122,580","122,580","122,580","122,580","122,580","268,790",,"268,790","268,790","268,790","268,790","268,790","169","109","10","10","1.69","100","0.9174","33","0.33","100"
"Near North Side","170310818002047","Commercial","Commercial","49,089","48,881","53,453","51,514","66,107","70,260","75,211","71,762","64,268","51,462","56,684","63,882","722,573","13","6","1,061","784","431","200","117","5","1","2","3","56","260","589","3,509","Less than 4","57,444","57,444","361,286.5","467,406.77","30,780","30,780","361,286.5","691,793","691,793","28,722","32,778.64","5,544","5,544","28,722","51,900","51,900","1,754.5","654.07","1,292","1,292","1,754.5","2,217","2,217","28,722","32,778.64","5,544","5,544","28,722","51,900","51,900","0","0","4","39.5","0","0",,"0",,"0"
"Near North Side","170310818002054","Commercial","Commercial","99,844","82,669","82,632","82,690","87,409","119,328","131,168","120,966","99,827","83,736","86,785","87,611","1,164,665","11","2","10,225","8,841","5,893","3,193","7,455","768","407","359","343","3,906","3,500","7,175","52,065","11","156,681","23,835","291,166.3","379,032.93","71,515","74,180","118,339.5","508,152.5","856,471","39,170.25","62,541.75","3,310","6,287.5","10,262.5","72,053","132,846","17,355","21,976.20","3,615","3,615","5,749","42,701","42,701","7,945","4,136.11","3,310","3,310","9,265","11,260","11,260","54","27","5.25","1.5","2.08","26","0.963","5","0.192","26"
"Near North Side","170310818003005","Commercial","Commercial","15,292","15,361","13,918","11,856","19,555","13,021","13,163","25,738","17,445","14,135","16,925","18,319","194,728","Less than 4","2",,,,,,,,,,,,,,,"30,942",,"194,728",,"194,728","194,728","194,728","194,728","194,728","30,942",,"30,942","30,942","30,942","30,942","30,942",,,,,,,,,,,,,,,"0","0","1","103","0","0",,"0",,"0"
"Near North Side","170310818003006","Commercial","Commercial","94,605","87,116","81,966","80,005","118,371","145,439","161,919","153,105","122,253","91,276","104,610","126,903","1,367,568","118","16","10,909","8,256","5,798","2,659","1,903","1,130","1,582","1,218","1,406","1,407","2,339","6,695","45,302","113","53,544","53,544","1,367,568",,"1,367,568","1,367,568","1,367,568","1,367,568","1,367,568","53,544",,"53,544","53,544","53,544","53,544","53,544","45,302",,"45,302","45,302","45,302","45,302","45,302","53,544",,"53,544","53,544","53,544","53,544","53,544","195","127","1","0","1.59","123","0.9684","12","0.098","123"
"Near North Side","170310818003008","Residential","Multi < 7","14,651","20,459","22,345","21,781","18,912","18,662","21,483","25,514","20,660","15,893","18,000","19,551","237,911","8","0","1,250","1,112","660","418","218","118","136","110","85","142","327","980","5,556","5","50,879","50,879","237,911",,"237,911","237,911","237,911","237,911","237,911","50,879",,"50,879","50,879","50,879","50,879","50,879","5,556",,"5,556","5,556","5,556","5,556","5,556","50,879",,"50,879","50,879","50,879","50,879","50,879","372","259","1","0","1.55","240","0.9266","38","0.158","240"
"Near North Side","170310818003012","Commercial","Commercial","189,092","157,032","156,370","150,318","173,519","199,203","215,265","230,203","215,060","179,927","229,878","258,897","2,354,764","75","29","6,931","4,479","4,765","2,069","508","93","71","40","188","204","2,859","6,562","28,769","16","236,105","81,196","588,691","314,268.39","202,961","332,709","645,521","844,673","860,761","59,026.25","24,954.27","29,496","40,598","58,841","77,454.5","88,927","14,384.5","1,587.45","13,262","13,262","14,384.5","15,507","15,507","40,598","15,700.60","29,496","29,496","40,598","51,700","51,700","0","0","5.75","47.5","0","0",,"0",,"0"
"Near North Side","170310818003014","Commercial","Commercial","344,897","334,032","249,840","215,384","254,462","227,800","221,582","242,951","285,293","267,775","347,370","470,293","3,461,679","54","18","3,210","771","789","971","1,052","1,590","1,713","1,619","1,580","1,146","2,964","1,466","18,871","Less than 4","261,243","153,143","1,730,840","2,042,396.62","286,647","286,647","1,730,839.5","3,175,032","3,175,032","130,621.5","31,850.21","108,100","108,100","130,621.5","153,143","153,143","18,871",,"18,871","18,871","18,871","18,871","18,871","153,143",,"153,143","153,143","153,143","153,143","153,143","9","5","6.5","35.5","1.8","5","1","3","0.6","5"
"Near North Side","170310818003018","Commercial","Commercial","61,664","59,837","65,024","61,921","69,431","83,159","91,282","96,144","90,634","80,488","90,123","90,693","940,400","36","20","10,249","9,884","6,512","4,133","2,195","1,627","1,552","1,443","1,377","1,841","4,558","11,742","57,113","17","101,662","101,662","117,550","101,676.37","20,190","40,831","117,779","130,855","341,280","20,332.4","12,167.72","5,700","9,500","23,367","31,535","31,560","9,518.83","7,031.63","3,081","3,414","7,360","16,441","19,457","20,332.4","12,167.72","5,700","9,500","23,367","31,535","31,560","5","2","4.4","62","2.5","2","1","0","0","2"
"Near North Side","170310819001002","Commercial","Commercial",,,,,,,,,,,,,,,"0","1,083","1,029","832","526","360","254","227","187","209","340","495","1,566","7,108","23",,"7,331",,,,,,,,,,,,,,,"309.04","275.38","51","92","208","572","1,018","2,443.67","323.62","2,243","2,243","2,271","2,817","2,817","72","52","1","0","3.27","22","0.4231","21","0.955","22"
"Near North Side","170310819001005","Residential","Multi 7+",,,,,,,,,,,,,,,"0","690","666","571","433","214","136","97","46","22","44","82","419","3,420","4",,"16,756",,,,,,,,,,,,,,,"855","244.81","647","680","788.5","1,030","1,196","8,378","323.85","8,149","8,149","8,378","8,607","8,607","185","164","2","0","3.19","58","0.3536","55","0.948","58"
"Near North Side","170310819001011","Residential","Single Family","3,392","3,345","8,052","14,255","20,512","30,073","49,389","47,143","22,556","17,330","21,206","42,363","279,616","19","3","5,407","4,574","3,102","1,987","1,194","984","1,105","979","936","1,020","1,335","3,997","26,620","20","56,740","63,235","21,508.92","28,250.34","7,127","8,800","13,520","18,502","113,706","4,364.62","4,614.78","2,720","2,953","2,953","2,953","19,660","1,774.67","1,867.62","659","1,015","1,452","1,645","8,419","4,215.67","4,299.21","2,720","2,720","2,953","4,008","19,660","42","26","1","0","1.68","25","0.9615","2","0.08","25"
"Near North Side","170311105022008","Residential","Single Family","1,084","1,140","1,120","634","872","1,250","1,280","620","744","742","1,446","1,294","12,226","Less than 4","0","304","262","172","112","68","30","32","26","30","62","106","264","1,468","Less than 4","2,342","2,342","6,113","0.00","6,113","6,113","6,113","6,113","6,113","1,171","0.00","1,171","1,171","1,171","1,171","1,171","734","0.00","734","734","734","734","734","1,171","0.00","1,171","1,171","1,171","1,171","1,171","109","53","1","6","2.27","48","0.9057","20","0.417","48"
"Near North Side","170318330001039","Residential","Multi 7+","636","676","638","628","901","1,134","1,276","2,651","2,657","2,989","3,485","4,556","22,227","Less than 4","0","353","263","198","74","25","6","1","2","2","5","44","210","1,183","Less than 4","303,360","303,360","22,227",,"22,227","22,227","22,227","22,227","22,227","303,360",,"303,360","303,360","303,360","303,360","303,360","1,183",,"1,183","1,183","1,183","1,183","1,183","303,360",,"303,360","303,360","303,360","303,360","303,360","0","1","24","57","0","0","0","0",,"0"
